No,IR,RE,HO,KO,GR,SY,SI,IY,TO,CO,SJ,TR,TS,GO,BU,SB,KK,SK,GA,HH,GT,CD,TI
1,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報
2,審査支払機関,レセプト番号,保険者番号,負担者番号,医科点数表算定理由,傷病名コード,診療識別,診療識別,診療識別,診療識別,症状詳記区分,レセプト番号,診療実日数,総件数,診断群分類番号,傷病名コード,予備,診療行為コード,診療年月,診療年月,診療年月 ,実施年月日,臓器提供区分 
3,都道府県,レセプト種別,被保険者証（手帳）等の記号,受給者番号,ＤＰＣコード,診療開始日,負担区分,負担区分,負担区分,負担区分,症状詳記データ,臓器提供者レセプト種別,合計点数,総合計点数,今回入院年月日,修飾語コード,ＤＰＣ算定対象となる病棟等以外の病棟移動の有無,区分番号,請求調整区分,請求調整区分,請求調整区分 ,診療識別 ,臓器提供医療機関区分 
4,点数表,診療年月,被保険者証（手帳）等の番号,任意給付区分,,転帰区分,診療行為コード,医薬品コード,特定器材コード,コメントコード,,診療年月,回数,マルチボリューム識別情報,今回退院年月日,傷病名称,予定・緊急入院区分,実施（予定）年月日,外泊等,自他保険区分,自他保険区分 ,順序番号 ,都道府県 
5,医療機関コード,氏名,診療実日数,診療実日数,,修飾語コード,数量データ,使用量,使用量,文字データ,,予備,合計金額,,ＤＰＣ転帰区分,ＩＣＤ１０コード 英,前回退院年月日,予備,診断群分類番号,負担区分,負担区分 ,行為明細番号 ,点数表 
6,予備,男女区分,合計点数,合計点数,,傷病名称,点数,点数,点数,,,男女区分,,,死因,傷病名区分,前回同一傷病での入院の有無,診療区分コード,医療機関別係数,入院期間区分 ,包括小計点数合算 ,レセプト電算処理システム用コード,医療機関コード 
7,医療機関名称,生年月日,予備,公費,,主傷病,回数,回数,回数,,,生年月日,,,,死因,入院時年齢,診療名称,翌月再入院（転棟）予定の有無,入院期間区分別点数 ,包括評価点数,使用量 ,予備 
8,請求年月,給付割合,回数,予備,,補足コメント,①コメントコード,①コメントコード,単位コード,,,予備,,,,補足コメント,出生時体重,,,入院期間区分別入院日数 ,調整点数 ,数量データ ,医療機関名称 
9,マルチボリューム識別情報,入院年月日,合計金額,公費給付対象入院一部負担金,,,①文字データ,①文字データ,単価,,,入院年月日,,,,,ＪＣＳ,,,包括小計点数 ,今月包括合計点数 ,単位コード ,医療機関所在地 
10,電話番号,病棟区分,職務上の事由,予備,,,②コメントコード,②コメントコード,予備,,,病棟区分,,,,,予備,,,,診療識別 ,回数 ,電話番号 
11,,一部負担金・食事療養費・生活療養費標準負担額区分,証明書番号,回数,,,②文字データ,②文字データ,商品名及び規格またはサイズ,,,予備,,,,,Burn Index,,,,変更年月日 ,予備 ,
12,,レセプト特記事項,医療保険,合計金額,,,③コメントコード,③コメントコード,①コメントコード,,,レセプト特記事項,,,,,重症度等,,,,文字データ ,,
13,,予備,減免区分,標準負担額,,,③文字データ,③文字データ,①文字データ,,,予備,,,,,予備,,,,,,
14,,カルテ番号等,減額割合,,,,１日の情報,１日の情報,②コメントコード,,,カルテ番号等,,,,,予備,,,,,,
15,,割引点数単価,減額金額,,,,２日の情報,２日の情報,②文字データ,,,割引点数単価,,,,,,,,,,,
16,,予備,標準負担額,,,,３日の情報,３日の情報,③コメントコード,,,予備,,,,,,,,,,,
17,,予備,,,,,４日の情報,４日の情報,③文字データ,,,予備,,,,,,,,,,,
18,,予備,,,,,５日の情報,５日の情報,１日の情報,,,予備,,,,,,,,,,,
19,,レセプト総括区分 ,,,,,６日の情報,６日の情報,２日の情報,,,,,,,,,,,,,,
20,,明細情報数 ,,,,,７日の情報,７日の情報,３日の情報,,,,,,,,,,,,,,
21,,検索番号,,,,,８日の情報,８日の情報,４日の情報,,,,,,,,,,,,,,
22,,記録条件仕様年月情報,,,,,９日の情報,９日の情報,５日の情報,,,,,,,,,,,,,,
23,,請求情報,,,,,１０日の情報,１０日の情報,６日の情報,,,,,,,,,,,,,,
24,,診療科名,,,,,１１日の情報,１１日の情報,７日の情報,,,,,,,,,,,,,,
25,,人体の部位等,,,,,１２日の情報,１２日の情報,８日の情報,,,,,,,,,,,,,,
26,,性別等,,,,,１３日の情報,１３日の情報,９日の情報,,,,,,,,,,,,,,
27,,医学的処置,,,,,１４日の情報,１４日の情報,１０日の情報,,,,,,,,,,,,,,
28,,特定疾病,,,,,１５日の情報,１５日の情報,１１日の情報,,,,,,,,,,,,,,
29,,カタカナ（氏名）,,,,,１６日の情報,１６日の情報,１２日の情報,,,,,,,,,,,,,,
30,,患者の状態,,,,,１７日の情報,１７日の情報,１３日の情報,,,,,,,,,,,,,,
31,,,,,,,１８日の情報,１８日の情報,１４日の情報,,,,,,,,,,,,,,
32,,,,,,,１９日の情報,１９日の情報,１５日の情報,,,,,,,,,,,,,,
33,,,,,,,２０日の情報,２０日の情報,１６日の情報,,,,,,,,,,,,,,
34,,,,,,,２１日の情報,２１日の情報,１７日の情報,,,,,,,,,,,,,,
35,,,,,,,２２日の情報,２２日の情報,１８日の情報,,,,,,,,,,,,,,
36,,,,,,,２３日の情報,２３日の情報,１９日の情報,,,,,,,,,,,,,,
37,,,,,,,２４日の情報,２４日の情報,２０日の情報,,,,,,,,,,,,,,
38,,,,,,,２５日の情報,２５日の情報,２１日の情報,,,,,,,,,,,,,,
39,,,,,,,２６日の情報,２６日の情報,２２日の情報,,,,,,,,,,,,,,
40,,,,,,,２７日の情報,２７日の情報,２３日の情報,,,,,,,,,,,,,,
41,,,,,,,２８日の情報,２８日の情報,２４日の情報,,,,,,,,,,,,,,
42,,,,,,,２９日の情報,２９日の情報,２５日の情報,,,,,,,,,,,,,,
43,,,,,,,３０日の情報,３０日の情報,２６日の情報,,,,,,,,,,,,,,
44,,,,,,,３１日の情報,３１日の情報,２７日の情報,,,,,,,,,,,,,,
45,,,,,,,,,２８日の情報,,,,,,,,,,,,,,
46,,,,,,,,,２９日の情報,,,,,,,,,,,,,,
47,,,,,,,,,３０日の情報,,,,,,,,,,,,,,
48,,,,,,,,,３１日の情報,,,,,,,,,,,,,,
