診療行為コード,予備,名称
190077410,9,急性期一般入院料７
190077510,8,地域一般入院料２
190077610,8,地域一般入院料３
190079010,11,一般病棟特別入院基本料
190079470,17,一般病棟入院期間加算（１４日以内）
190079570,27,一般病棟入院期間加算（１４日以内）（特別入院基本料等）
190079670,22,一般病棟入院期間加算（１５日以上３０日以内）
190079770,32,一般病棟入院期間加算（１５日以上３０日以内）（特別入院基本料等）
190107290,12,外泊（入院基本料の減額）
190107390,22,外泊（入院基本料の減額）（精神障害等の患者）
190107490,12,外泊（特定入院料の減額）
190107590,22,外泊（特定入院料の減額）（精神障害等の患者）
190107690,20,定数超過入院基本料減額（１００分の１０）
190107790,20,定数超過入院基本料減額（１００分の２０）
190107890,13,標欠（１００分の１０減額）
190107990,13,標欠（１００分の１５減額）
190108590,17,標欠（１００分の３減額）（離島等）
190108690,17,標欠（１００分の２減額）（離島等）
190108790,31,特定入院料減算（１００分の４０）（他医受診・包括診療行為算定）
190108890,31,入院基本料減算（１００分の４０）（他医受診・包括診療行為算定）
190109090,31,入院基本料減算（１００分の２０）（他医受診・包括診療行為算定）
190111810,12,（選）急性期一般入院料７
190111910,11,（選）地域一般入院料２
190112010,11,（選）地域一般入院料３
190113410,14,（選）一般病棟特別入院基本料
190117710,9,急性期一般入院料１
190117810,12,（選）急性期一般入院料１
190122890,22,選定療養（入院１８０日超）減算（入院基本料）
190131310,22,急性期一般入院料１（月平均夜勤時間超過減算）
190131410,22,急性期一般入院料７（月平均夜勤時間超過減算）
190141590,30,入院基本料減算（１００分の１０）（他医受診）（出来高入院料）
190142090,32,特定入院料減算（１００分の１０）（他医受診・包括診療行為未算定）
190142190,32,入院基本料減算（１００分の１０）（他医受診・包括診療行為未算定）
190142870,23,重症児（者）受入連携加算（地域一般入院基本料）
190142970,25,救急・在宅等支援病床初期加算（地域一般入院基本料）
190161470,19,特定時間退院減算（一般病棟入院基本料）
190161570,22,特定時間退院減算（一般病棟特別入院基本料等）
190161670,20,特定曜日入退院減算（一般病棟入院基本料）
190161770,23,特定曜日入退院減算（一般病棟特別入院基本料等）
190162210,16,一般病棟・療養病棟入院料１（Ａ）
190162410,16,一般病棟・療養病棟入院料１（Ｂ）
190162610,16,一般病棟・療養病棟入院料１（Ｃ）
190162810,16,一般病棟・療養病棟入院料１（Ｄ）
190163010,16,一般病棟・療養病棟入院料１（Ｅ）
190163210,16,一般病棟・療養病棟入院料１（Ｆ）
