項目名,名称
820100001,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院
820100002,イ　往診等の後に薬剤のみを取りに来院
820100003,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院
830100002,２つ目の診療科（初診料）；
830100003,２つ目の診療科（再診料）；
820100990,オンライン診療の適切な実施に関する指針に沿った適切な診療である（初診料）
820100005,月の途中まで乳幼児
820100816,オンライン診療の適切な実施に関する指針に沿った適切な処方である（初診料）
830100004,２つ目の診療科（外来診療料）；
820100817,オンライン診療の適切な実施に関する指針に沿った適切な診療である（再診料）
820100818,オンライン診療の適切な実施に関する指針に沿った適切な処方である（再診料）
820100819,オンライン診療の適切な実施に関する指針に沿った適切な診療である（外来診療料）
820100820,オンライン診療の適切な実施に関する指針に沿った適切な処方である（外来診療料）
830100005,入院元（一般病棟入院基本料）（救急・在宅等支援病床初期加算）；
830100006,算定対象である旨及び転院（転棟）回数（救急・在宅等支援病床初期加算）；
830100007,直近の入院医療機関名及び退院年月日（救急・在宅等支援病床初期加算）；
830100008,他の病棟又は病床へ移動させた医療上の必要性（療養病棟入院基本料）；
830100009,医療上の必要性（療養病棟入院基本料）；
820100392,非該当患者（療養病棟入院基本料）
830100010,入院元（急性期患者支援療養病床初期加算）；
830100011,入院元（在宅患者支援療養病床初期加算）；
830100012,算定対象である旨及び転院（転棟）回数（急性期患者支援療養病床初期加算）；
830100015,直近の入院医療機関名及び退院年月日（在宅患者支援療養病床初期加算）；
830100016,算定根拠となる評価（重度認知症加算（精神病棟入院基本料））；
850100013,評価年月日（重度認知症加算（精神病棟入院基本料））
830100455,算定根拠となる評価（重度認知症加算（特定機能病院精神病棟入院基本料））；
850100386,評価年月日（重度認知症加算（特定機能病院精神病棟入院基本料））
830100018,他の病棟又は病床へ移動した医療上の必要性（有床診療所療養病床入院基本料）；
830100019,同一の保険医療機関の療養病床以外又は別の保険医療機関の一般病棟等以外へ転院する医療上の必要性（有床診療所療養病床入院基本料）；
820100821,療養病棟リハビリテーション実績指数の算出から除外（療養病棟入院基本料　注１１の規定）
850100015,加算を算定した入院年月日（地域医療支援病院入院診療加算）
830100760,療養病棟リハビリテーション実績指数の算出から除外した理由（療養病棟入院基本料　注１１の規定）；
820100393,ア　吐血、喀血又は重篤な脱水で全身状態不良（救急医療管理加算１）
820100395,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ１
830100472,「特外」理由（障害者施設等入院基本料）；
820100396,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ２
820100397,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ３
820100398,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ１０
820100399,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ２０
830100020,入院元（有床診療所急性期患者支援療養病床初期加算）；
820100400,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ３０
830100021,算定対象である旨及び転院（転棟）回数（有床診療所急性期患者支援療養病床初期加算）；
830100779,入院元（有床診療所在宅患者支援療養病床初期加算）；
830100022,直近の入院医療機関名及び退院年月日（有床診療所在宅患者支援療養病床初期加算）；
820100401,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ１００
820100402,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ２００
850100487,加算の算定を開始した入院年月日（急性期充実体制加算）
820100403,イ　意識障害又は昏睡（救急医療管理加算１）：ＪＣＳ３００
850100489,加算を算定した入院年月日（紹介受診重点医療機関入院診療加算）
850100016,加算を算定した入院年月日（臨床研修病院入院診療加算）
820100404,ウ　心不全（救急医療管理加算１）：ＮＹＨＡ１
850100492,情報通信機器を用いた診療年月日（在医総管）
850100493,情報通信機器を用いた診療年月日（施医総管）
820100405,ウ　心不全（救急医療管理加算１）：ＮＹＨＡ２
820100406,ウ　心不全（救急医療管理加算１）：ＮＹＨＡ３
820100407,ウ　心不全（救急医療管理加算１）：ＮＹＨＡ４
820100408,ウ　呼吸不全（救急医療管理加算１）：Ｐ／Ｆ比３００以上４００未満
820100409,ウ　呼吸不全（救急医療管理加算１）：Ｐ／Ｆ比２００以上３００未満
820100410,ウ　呼吸不全（救急医療管理加算１）：Ｐ／Ｆ比２００未満
820100411,エ　急性薬物中毒（救急医療管理加算１）
820100412,オ　ショック（救急医療管理加算１）：平均血圧７０ｍｍＨｇ以上
820100413,オ　ショック（救急医療管理加算１）：平均血圧７０ｍｍＨｇ未満
820100414,オ　ショック（救急医療管理加算１）：昇圧剤利用なし
820100415,オ　ショック（救急医療管理加算１）：昇圧剤利用あり
842100001,カ　代謝障害（肝不全）（救急医療管理加算１）ＡＳＴ値
842100002,カ　代謝障害（肝不全）（救急医療管理加算１）ＡＬＴ値
842100003,カ　代謝障害（腎不全）（救急医療管理加算１）ｅＧＦＲ値
842100004,カ　代謝障害（重症糖尿病）（救急医療管理加算１）ＪＤＳ値
842100005,カ　代謝障害（重症糖尿病）（救急医療管理加算１）ＮＧＳＰ値
842100006,カ　代謝障害（重症糖尿病）（救急医療管理加算１）随時血糖値
830100023,カ　代謝障害（その他）（救急医療管理加算１）具体的な状態；
820100421,ク　外傷、破傷風等（救急医療管理加算１）
820100808,ケ　緊急手術、緊急カテーテル治療・検査又はｔ－ＰＡ療法を必要とする状態　（救急医療管理加算１）
831110001,入院後３日以内に実施した主要な診療行為（救急医療管理加算１）
850100017,救急医療管理加算１を算定した入院年月日
820100423,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ１
820100416,キ　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：Ｂｕｒｎ　Ｉｎｄｅｘ　９以上
820100424,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ２
820100425,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ３
820100417,キ　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：Ｂｕｒｎ　Ｉｎｄｅｘ　４以上９未満
820100418,キ　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：Ｂｕｒｎ　Ｉｎｄｅｘ　４未満
820100426,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ１０
820100419,キ　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：気道熱傷なし
820100427,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ２０
820100420,キ　広範囲熱傷、顔面熱傷又は気道熱傷（救急医療管理加算１）：気道熱傷あり
820100428,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ３０
820100429,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ１００
820100430,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ２００
820100431,イ　意識障害又は昏睡（救急医療管理加算２）：ＪＣＳ３００
