コード,名称
620000435,ビ・シフロール錠０．１２５ｍｇ
620000436,ビ・シフロール錠０．５ｍｇ
620008662,ドパゾール錠２００ｍｇ
620008660,ドパストンカプセル２５０ｍｇ
620008661,ドパストン散９８．５％
620008889,ドパストン静注２５ｍｇ　０．２５％１０ｍＬ
620008890,ドパストン静注５０ｍｇ　０．２５％２０ｍＬ
620123901,ネオドパストン配合錠Ｌ１００
620124501,ネオドパストン配合錠Ｌ２５０
620123601,イーシー・ドパール配合錠
620123701,ネオドパゾール配合錠
620123801,マドパー配合錠
620005364,エフピーＯＤ錠２．５　２．５ｍｇ
622624401,アジレクト錠１ｍｇ
622624501,アジレクト錠０．５ｍｇ
620004853,コムタン錠１００ｍｇ
622069601,ミラペックスＬＡ錠０．３７５ｍｇ
622069701,ミラペックスＬＡ錠１．５ｍｇ
620004415,レキップ錠０．２５ｍｇ
620004416,レキップ錠１ｍｇ
620004417,レキップ錠２ｍｇ
622183601,レキップＣＲ錠２ｍｇ
622183701,レキップＣＲ錠８ｍｇ
622163501,ニュープロパッチ２．２５ｍｇ
622163601,ニュープロパッチ４．５ｍｇ
622163701,ニュープロパッチ９ｍｇ
622163801,ニュープロパッチ１３．５ｍｇ
622478301,ニュープロパッチ１８ｍｇ
610432023,カバサール錠０．２５ｍｇ
610432024,カバサール錠１．０ｍｇ　１ｍｇ
610406392,ペルマックス錠５０μｇ
610406393,ペルマックス錠２５０μｇ
622245801,ノウリアスト錠２０ｍｇ
620124301,パーキストン配合錠Ｌ１００
622051301,パーキストン配合錠Ｌ２５０
