コード,名称
150001250,創傷処理（筋肉、臓器に達する）（長径５ｃｍ未満）
150001310,創傷処理（筋肉、臓器に達する）（長径５ｃｍ以上１０ｃｍ未満）
150383310,創傷処理（筋肉、臓器に達する）（長径２０ｃｍ以上）（頭頸部）
150383410,創傷処理（筋肉、臓器に達する）（長径１０ｃｍ以上）（その他）
150001110,創傷処理（筋肉、臓器に達しない）（長径５ｃｍ以上１０ｃｍ未満）
150284010,創傷処理（筋肉、臓器に達しない）（長径１０ｃｍ以上）
150306910,小児創傷処理（筋肉、臓器に達する、長径２．５ｃｍ未満）
150307010,小児創傷処理（筋肉、臓器に達する、長径２．５ｃｍ～５ｃｍ未満）
150307110,小児創傷処理（筋肉、臓器に達する、長径５ｃｍ～１０ｃｍ未満）
150307210,小児創傷処理（筋肉、臓器に達する、長径１０ｃｍ以上）
150307310,小児創傷処理（筋肉、臓器に達しない、長径２．５ｃｍ未満）
150307410,小児創傷処理（筋肉、臓器に達しない、長径２．５ｃｍ～５ｃｍ未満）
150307510,小児創傷処理（筋肉、臓器に達しない、長径５ｃｍ～１０ｃｍ未満）
150307610,小児創傷処理（筋肉、臓器に達しない、長径１０ｃｍ以上）
