コード,名称,Kコード
150133810,食道切除再建術（頸部、胸部、腹部の操作）,K5251
150133910,食道切除再建術（胸部、腹部の操作）,K5252
150134010,食道切除再建術（腹部の操作）,K5253
150135110,食道悪性腫瘍手術（消化管再建手術併施）（頸部、胸部、腹部の操作）,K5291
150135210,食道悪性腫瘍手術（消化管再建手術併施）（胸部、腹部の操作）,K5292
150135310,食道悪性腫瘍手術（消化管再建手術併施）（腹部の操作）,K5293
150135710,食道切除後２次的再建術（皮弁形成）,K5311
150135810,食道切除後２次的再建術（消化管利用）,K5312
150136110,食道・胃静脈瘤手術（血行遮断術を主とする）,K5321
150136210,食道・胃静脈瘤手術（食道離断術を主とする）,K5322
150136350,食道静脈瘤手術（開腹）,K532-2
150165210,胃切除術（単純切除術）,K6551
150166110,胃全摘術（単純全摘術）,K6571
150168010,胃切除術（悪性腫瘍手術）,K6552
150168110,胃全摘術（悪性腫瘍手術）,K6572
150178110,膵体尾部腫瘍切除術（膵尾部切除術）（脾同時切除）,K7021ｲ
150178210,膵体尾部腫瘍切除術（リンパ節・神経叢郭清等を伴う腫瘍切除術）,K7022
150178410,膵頭部腫瘍切除術（膵頭十二指腸切除術）,K7031
150180950,腸閉塞症手術（結腸切除術）（全切除、亜全切除又は悪性腫瘍手術）,K7193
150181910,結腸切除術（全切除、亜全切除又は悪性腫瘍手術）,K7193
150186810,直腸腫瘍摘出術（経肛門）,K7391
150186910,直腸腫瘍摘出術（経括約筋）,K7392
150187010,直腸腫瘍摘出術（経腹及び経肛）,K7393
150187110,直腸切除・切断術（切除術）,K7401
150187210,直腸切除・切断術（切断術）,K7404
150200510,膀胱悪性腫瘍手術（切除）,K8031
150200610,膀胱悪性腫瘍手術（全摘（尿路変更を行わない））,K8032
150245410,直腸切除・切断術（低位前方切除術）,K7402
150245910,膀胱悪性腫瘍手術（全摘（尿管Ｓ状結腸吻合利用で尿路変更を行う））,K8033
150246010,膀胱悪性腫瘍手術（全摘（回腸又は結腸導管利用で尿路変更を行う））,K8034
150246110,膀胱悪性腫瘍手術（全摘（代用膀胱利用で尿路変更を行う））,K8035
150246210,膀胱悪性腫瘍手術（経尿道的手術）（その他）,K8036ﾛ
150246510,尿道悪性腫瘍摘出術（尿路変更を行う場合）,K8173
150277410,膵体尾部腫瘍切除術（周辺臓器の合併切除を伴う腫瘍切除術）,K7023
150277510,膵体尾部腫瘍切除術（血行再建を伴う腫瘍切除術）,K7024
150296910,膵頭部腫瘍切除術（リンパ節・神経叢郭清等を伴う腫瘍切除術）,K7032
150297010,膵頭部腫瘍切除術（十二指腸温存膵頭切除術）,K7032
150297110,膵頭部腫瘍切除術（周辺臓器の合併切除を伴う腫瘍切除術）,K7033
150297210,膵頭部腫瘍切除術（血行再建を伴う腫瘍切除術）,K7034
150297510,直腸切除・切断術（超低位前方切除術）（経肛門的結腸嚢肛門吻合）,K7403
150323410,腹腔鏡下胃切除術（単純切除術）,K655-21
150323510,腹腔鏡下胃切除術（悪性腫瘍手術）,K655-22
150323610,腹腔鏡下胃全摘術（単純全摘術）,K657-21
150323710,腹腔鏡下胃全摘術（悪性腫瘍手術）,K657-22
150324910,腹腔鏡下結腸悪性腫瘍切除術,K719-3
150325210,腹腔鏡下直腸切除・切断術（切除術）,K740-21
150337210,噴門側胃切除術（単純切除術）,K655-41
150337310,噴門側胃切除術（悪性腫瘍切除術）,K655-42
150337710,腹腔鏡下結腸切除術（全切除、亜全切除）,K719-22
150337810,腹腔鏡下直腸切除・切断術（低位前方切除術）,K740-22
150337910,腹腔鏡下直腸切除・切断術（切断術）,K740-23
150346310,食道空置バイパス作成術,K522-3
150348410,膵体尾部腫瘍切除術（膵尾部切除術）（脾温存）,K7021ﾛ
150365110,膀胱悪性腫瘍手術（経尿道的手術）（電解質溶液利用）,K8036ｲ
150374710,胸腔鏡下食道悪性腫瘍手術（頸部、胸部、腹部の操作）,K529-21
150374810,胸腔鏡下食道悪性腫瘍手術（胸部、腹部の操作）,K529-22
150377810,腹腔鏡下噴門側胃切除術（単純切除術）,K655-51
150377910,腹腔鏡下噴門側胃切除術（悪性腫瘍切除術）,K655-52
150399610,縦隔鏡下食道悪性腫瘍手術,K529-3
150403310,腹腔鏡下膀胱悪性腫瘍手術（全摘、腸管等利用し尿路変更なし）,K803-21
150403410,腹腔鏡下膀胱悪性腫瘍手術（全摘、回腸結腸導管利用し尿路変更あり）,K803-22
150403510,腹腔鏡下膀胱悪性腫瘍手術（全摘、代用膀胱利用し尿路変更あり）,K803-23
150403610,腹腔鏡下小切開膀胱悪性腫瘍手術（全摘、腸管等利用尿路変更なし）,K803-31
150403710,腹腔鏡下小切開膀胱悪性腫瘍手術（全摘、回腸等利用尿路変更あり）,K803-32
150403810,腹腔鏡下小切開膀胱悪性腫瘍手術（全摘、代用膀胱利用尿路変更あり）,K803-33
150406210,胸腔鏡下食道悪性腫瘍手術（頸、胸、腹部操作・手術用支援機器使用）,K529-21
150406310,胸腔鏡下食道悪性腫瘍手術（胸部、腹部の操作・手術用支援機器使用）,K529-22
150406610,腹腔鏡下胃切除術（単純切除術）（内視鏡手術用支援機器使用）,K655-21
150406710,腹腔鏡下胃切除術（悪性腫瘍手術）（内視鏡手術用支援機器使用）,K655-22
150406810,腹腔鏡下噴門側胃切除術（単純切除術）（内視鏡手術用支援機器使用）,K655-51
150406910,腹腔鏡下噴門側胃切除術（悪性腫瘍切除術・手術用支援機器使用）,K655-52
150407010,腹腔鏡下胃全摘術（単純全摘術）（内視鏡手術用支援機器使用）,K657-21
150407110,腹腔鏡下胃全摘術（悪性腫瘍手術）（内視鏡手術用支援機器使用）,K657-22
150407210,腹腔鏡下直腸切除・切断術（切除術）（内視鏡手術用支援機器使用）,K740-21
150407310,腹腔鏡下直腸切除・切断術（低位前方切除術・手術用支援機器使用）,K740-22
150407410,腹腔鏡下直腸切除・切断術（切断術）（内視鏡手術用支援機器使用）,K740-23
150407510,腹腔鏡下膀胱悪性腫瘍手術（腸管等利用し尿路変更なし・通則１８）,K803-21
150407610,腹腔鏡下膀胱悪性腫瘍手術（回腸等導管利用尿路変更あり・通則１８）,K803-22
150407710,腹腔鏡下膀胱悪性腫瘍手術（代用膀胱利用し尿路変更あり・通則１８）,K803-23
