コード,名称
150332510,閉鎖循環式全身麻酔１（麻酔困難な患者）
150332610,閉鎖循環式全身麻酔１
150332710,閉鎖循環式全身麻酔２（麻酔困難な患者）
150332810,閉鎖循環式全身麻酔２
150332910,閉鎖循環式全身麻酔３（麻酔困難な患者）
150333010,閉鎖循環式全身麻酔３
150333110,閉鎖循環式全身麻酔４（麻酔困難な患者）
150333210,閉鎖循環式全身麻酔４
150233410,閉鎖循環式全身麻酔５
150328210,閉鎖循環式全身麻酔５（麻酔困難な患者）
150050410,人工関節置換術（股）
150256010,工関節再置換術（股）
150111210,口腔底悪性腫瘍手術
150111510,頬粘膜悪性腫瘍手術
150112110,舌悪性腫瘍手術（切除）
150112210,舌悪性腫瘍手術（亜全摘）
150113110,口唇悪性腫瘍手術
150113410,頬悪性腫瘍手術
150115810,下顎骨悪性腫瘍手術（切除）
150413110,下顎骨悪性腫瘍手術（切断）（おとがい部を含む）
150115910,下顎骨悪性腫瘍手術（切断）（その他）
150116310,上顎骨悪性腫瘍手術（掻爬）
150116410,上顎骨悪性腫瘍手術（切除）
150116510,上顎骨悪性腫瘍手術（全摘）
150117810,顎下腺悪性腫瘍手術
150118310,耳下腺悪性腫瘍手術（切除）
150118410,耳下腺悪性腫瘍手術（全摘）
150119410,甲状腺悪性腫瘍手術（切除）（頸部外側区域郭清を伴わない）
150413410,甲状腺悪性腫瘍手術（切除）（頸部外側区域郭清を伴う）
150119510,甲状腺悪性腫瘍手術（全摘及び亜全摘・頸部外側区域郭清を伴わない）
150413510,甲状腺悪性腫瘍手術（全摘及び亜全摘・片側頸部外側区域郭清を伴う）
150413610,甲状腺悪性腫瘍手術（全摘及び亜全摘・両側頸部外側区域郭清を伴う）
150398810,内視鏡下甲状腺悪性腫瘍手術（切除）
150398910,内視鏡下甲状腺悪性腫瘍手術（全摘及び亜全摘）
150119910,副甲状腺（上皮小体）悪性腫瘍手術（広汎）
150120610,頸部悪性腫瘍手術
150121610,乳腺悪性腫瘍手術（単純乳房切除術（乳腺全摘術））
150303110,乳腺悪性腫瘍手術（乳房部分切除術（腋窩部郭清を伴わない））
150316510,乳腺悪性腫瘍手術（乳房切除術（腋窩部郭清を伴わない））
150262710,乳腺悪性腫瘍手術（乳房部分切除術（腋窩部郭清を伴う））
150121710,乳腺悪性腫瘍手術（乳房切除術・胸筋切除を併施しない）
150121810,乳腺悪性腫瘍手術（乳房切除術・胸筋切除を併施する）
150121910,乳腺悪性腫瘍手術（拡大乳房切除術（郭清を併施する））
