コード,名称
3409005,多発性硬化症
3410003,視神経脊髄炎
3580006,重症筋無力症
8835762,スモン
3352007,筋萎縮性側索硬化症
8835986,脊髄小脳変性症
8843948,ハンチントン病
3318005,進行性核上性麻痺
8841403,大脳皮質基底核変性症
3320002,パーキンソン病
8846156,若年性パーキンソン病
8843952,パーキンソン病Ｙａｈｒ３
8843953,パーキンソン病Ｙａｈｒ４
8843954,パーキンソン病Ｙａｈｒ５
8843934,多系統萎縮症
8848413,プリオン病
461004,クロイツフェルト・ヤコブ病
462001,亜急性硬化性全脳炎
8839589,ファブリー病
8846211,びまん性体幹被角血管腫
8846214,副腎脊髄ニューロパチー
8839695,副腎白質ジストロフィー
8835990,脊髄性筋萎縮症
8832469,球脊髄性筋萎縮症
8841670,慢性炎症性脱髄性多発神経炎
8841400,多巣性運動ニューロパチー
2793007,後天性免疫不全症候群
8847112,多剤耐性結核
