No,IR,RE,HO,KO,GR,SY,SI,IY,TO,CO,SJ,TR,TS,GO
1,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報,レコード識別情報
2,審査支払機関,レセプト番号,保険者番号,負担者番号,医科点数表算定理由,傷病名コード,診療識別,診療識別,診療識別,診療識別,症状詳記区分,レセプト番号,診療実日数,総件数
3,都道府県,レセプト種別,被保険者証（手帳）等の記号,受給者番号,ＤＰＣコード,診療開始日,負担区分,負担区分,負担区分,負担区分,症状詳記データ,臓器提供者レセプト種別,合計点数,総合計点数
4,点数表,診療年月,被保険者証（手帳）等の番号被保険者証,任意給付区分,,転帰区分,診療行為コード,医薬品コード,特定器材コード,コメントコード,,診療年月,回数,マルチボリューム識別情報
5,医療機関コード,氏名,診療実日数,診療実日数,,修飾語コード,数量データ,使用量,使用量,文字データ,,予備,合計金額,
6,予備,男女区分,合計点数,合計点数,,傷病名称,点数,点数,点数,,,男女区分,,
7,医療機関名称,生年月日,予備,公費,,主傷病,回数,回数,回数,,,生年月日,,
8,請求年月,給付割合,回数,公費給付対象外来一部負担金,,補足コメント,①コメントコード,①コメントコード,単位コード,,,予備,,
9,マルチボリューム識別情報,入院年月日,合計金額,公費給付対象入院一部負担金,,,①文字データ,①文字データ,単価,,,入院年月日,,
10,電話番号,病棟区分,職務上の事由,予備,,,②コメントコード,②コメントコード,予備,,,病棟区分,,
11,,一部負担金・食事療養費・生活療養費標準負担額区分,証明書番号,回数,,,②文字データ,②文字データ,商品名及び規格またはサイズ,,,予備,,
12,,レセプト特記事項,医療保険,合計金額,,,③コメントコード,③コメントコード,①コメントコード,,,レセプト特記事項,,
13,,病床数,減免区分,,,,③文字データ,③文字データ,①文字データ,,,予備,,
14,,カルテ番号等,減額割合,,,,１日の情報,１日の情報,②コメントコード,,,カルテ番号等,,
15,,割引点数単価,減額金額,,,,２日の情報,２日の情報,②文字データ,,,割引点数単価,,
16,,予備,,,,,３日の情報,３日の情報,③コメントコード,,,予備,,
17,,予備,,,,,４日の情報,４日の情報,③文字データ,,,予備,,
18,,予備,,,,,５日の情報,５日の情報,１日の情報,,,予備,,
19,,検索番号,,,,,６日の情報,６日の情報,２日の情報,,,,,
20,,記録条件仕様年月情報,,,,,７日の情報,７日の情報,３日の情報,,,,,
21,,請求情報,,,,,８日の情報,８日の情報,４日の情報,,,,,
22,,診療科名,,,,,９日の情報,９日の情報,５日の情報,,,,,
23,,人体の部位等,,,,,１０日の情報,１０日の情報,６日の情報,,,,,
24,,性別等,,,,,１１日の情報,１１日の情報,７日の情報,,,,,
25,,医学的処置,,,,,１２日の情報,１２日の情報,８日の情報,,,,,
26,,特定疾病,,,,,１３日の情報,１３日の情報,９日の情報,,,,,
27,,診療科名,,,,,１４日の情報,１４日の情報,１０日の情報,,,,,
28,,人体の部位等,,,,,１５日の情報,１５日の情報,１１日の情報,,,,,
29,,性別等,,,,,１６日の情報,１６日の情報,１２日の情報,,,,,
30,,医学的処置,,,,,１７日の情報,１７日の情報,１３日の情報,,,,,
31,,特定疾病,,,,,１８日の情報,１８日の情報,１４日の情報,,,,,
32,,診療科名,,,,,１９日の情報,１９日の情報,１５日の情報,,,,,
33,,人体の部位等,,,,,２０日の情報,２０日の情報,１６日の情報,,,,,
34,,性別等,,,,,２１日の情報,２１日の情報,１７日の情報,,,,,
35,,医学的処置,,,,,２２日の情報,２２日の情報,１８日の情報,,,,,
36,,特定疾病,,,,,２３日の情報,２３日の情報,１９日の情報,,,,,
37,,カタカナ（氏名）,,,,,２４日の情報,２４日の情報,２０日の情報,,,,,
38,,患者の状態,,,,,２５日の情報,２５日の情報,２１日の情報,,,,,
39,,,,,,,２６日の情報,２６日の情報,２２日の情報,,,,,
40,,,,,,,２７日の情報,２７日の情報,２３日の情報,,,,,
41,,,,,,,２８日の情報,２８日の情報,２４日の情報,,,,,
42,,,,,,,２９日の情報,２９日の情報,２５日の情報,,,,,
43,,,,,,,３０日の情報,３０日の情報,２６日の情報,,,,,
44,,,,,,,３１日の情報,３１日の情報,２７日の情報,,,,,
45,,,,,,,,,２８日の情報,,,,,
46,,,,,,,,,２９日の情報,,,,,
47,,,,,,,,,３０日の情報,,,,,
48,,,,,,,,,３１日の情報,,,,,
