項目名,名称
810000001,
820000001,別途コメントあり
820000002,自費から
820000003,集団検診から
820000004,後期高齢者検診から
820000005,学校検診から
820000006,健康診断から
820000009,分院にて請求済み
820000010,本院にて請求済み
820000011,他科にて請求済み
820000012,労災入院中
820000013,自費入院中
820000014,生活保護受給者
820000015,免税者
820000016,外国人
820000017,国保未加入
820000018,自費
820000019,社会保険併用（本人）
820000020,社会保険併用（家族）
820000021,第三者行為
820000022,交通事故
820000023,月遅れ請求分
820000033,未来院請求後
820000035,他保険にて請求済み
820000036,他保険者にて請求済み
820000037,自己注射に用いる注射薬投与
820000038,自己連続携行式腹膜灌流に用いる注射薬投与
820000039,在宅中心静脈栄養法に用いる注射薬投与
820000042,新規指定
820000046,（サ）
820000047,（減）
820000050,（介）
820000053,（検選）
820000054,（リハ選）
820000055,（精選）
820000056,画診共同
820000094,（薬評）
820000095,（器評）
820000139,リソウ
820000140,義歯増歯
820000141,１歯分間隙
820000143,（障害）
820000144,入院元　一般病棟（自院以外の急性期病院からの転院）
820000145,入院元　一般病棟（自院の急性期病棟からの転棟）
820000146,入院元　他の病棟（急性期医療を担う保険医療機関の一般病棟以外）
820000147,入院元　介護老人保健施設
820000148,入院元　特別養護老人ホーム
820000149,入院元　有料老人ホーム等
820000150,入院元　自宅
820000151,退院先　一般病棟（急性期病棟への転院・転棟）
820000152,退院先　他の病棟（急性期医療を担う保険医療機関の一般病棟以外）
820000153,退院先　介護老人保健施設
820000154,退院先　特別養護老人ホーム
820000155,退院先　有料老人ホーム等
820000156,退院先　自宅
820000157,退院先　死亡
820000166,（精減）
820000171,（加評）
820000172,ファイバーポスト
820000173,ＡＤＬ合計得点　　０点
820000174,ＡＤＬ合計得点　　１点
820000175,ＡＤＬ合計得点　　２点
820000176,ＡＤＬ合計得点　　３点
820000177,ＡＤＬ合計得点　　４点
820000178,ＡＤＬ合計得点　　５点
820000179,ＡＤＬ合計得点　　６点
820000180,ＡＤＬ合計得点　　７点
820000181,ＡＤＬ合計得点　　８点
820000182,ＡＤＬ合計得点　　９点
820000183,ＡＤＬ合計得点　１０点
820000184,ＡＤＬ合計得点　１１点
820000185,ＡＤＬ合計得点　１２点
820000186,ＡＤＬ合計得点　１３点
820000187,ＡＤＬ合計得点　１４点
820000188,ＡＤＬ合計得点　１５点
820000189,ＡＤＬ合計得点　１６点
820000190,ＡＤＬ合計得点　１７点
820000191,ＡＤＬ合計得点　１８点
820000192,ＡＤＬ合計得点　１９点
820000193,ＡＤＬ合計得点　２０点
820000194,ＡＤＬ合計得点　２１点
820000195,ＡＤＬ合計得点　２２点
820000196,ＡＤＬ合計得点　２３点
820000197,ＡＤＬ合計得点　２４点
820000198,ＡＤＬａ　ベッド上の可動性　０点
