コード,名称
111000670,休日加算（初診）
111011670,乳幼児休日加算（小児科初診）
111012070,乳幼児休日加算（初診）
113007170,乳幼児休日加算（小児科初診）（小児科外来診療料）
113020670,乳幼児休日加算（小児科初診）（小児かかりつけ診療料）
113026770,休日加算（初診）（小児かかりつけ診療料）
111000570,時間外加算（初診）
111000870,時間外特例医療機関加算（初診）
111010770,乳幼児時間外特例医療機関加算（初診）（小児科外来診療料）
111011970,乳幼児時間外加算（初診）
111012270,乳幼児時間外特例医療機関加算（初診）
113009670,乳幼児時間外加算（初診）（小児科外来診療料）
113020170,乳幼児時間外加算（初診）（小児かかりつけ診療料）
113020470,乳幼児時間外特例医療機関加算（初診）（小児かかりつけ診療料）
113026670,時間外加算（初診）（小児かかりつけ診療料）
113026970,時間外特例医療機関加算（初診）（小児かかりつけ診療料）
111000770,深夜加算（初診）
111011770,乳幼児深夜加算（小児科初診）
111012170,乳幼児深夜加算（初診）
113007270,乳幼児深夜加算（小児科初診）（小児科外来診療料）
113020770,乳幼児深夜加算（小児科初診）（小児かかりつけ診療料）
113026870,深夜加算（初診）（小児かかりつけ診療料）
111011570,乳幼児夜間加算（小児科初診）
111012470,夜間・早朝等加算（初診）
113007070,乳幼児夜間加算（小児科初診）（小児科外来診療料）
113020570,乳幼児夜間加算（小児科初診）（小児かかりつけ診療料）
