コード,名称,Kコード
150129710,肺切除術（楔状部分切除）,K5111
150129810,肺切除術（区域切除（１肺葉に満たない））,K5112
150129910,肺切除術（肺葉切除）,K5113
150130010,肺切除術（複合切除（１肺葉を超える））,K5114
150130110,肺切除術（１側肺全摘）,K5115
150131610,肺縫縮術,K517
150133810,食道切除再建術（頸部、胸部、腹部の操作）,K5251
150133910,食道切除再建術（胸部、腹部の操作）,K5252
150134010,食道切除再建術（腹部の操作）,K5253
150135110,食道悪性腫瘍手術（消化管再建手術併施）（頸部、胸部、腹部の操作）,K5291
150135210,食道悪性腫瘍手術（消化管再建手術併施）（胸部、腹部の操作）,K5292
150135310,食道悪性腫瘍手術（消化管再建手術併施）（腹部の操作）,K5293
150135710,食道切除後２次的再建術（皮弁形成）,K5311
150135810,食道切除後２次的再建術（消化管利用）,K5312
150136110,食道・胃静脈瘤手術（血行遮断術を主とする）,K5321
150136210,食道・胃静脈瘤手術（食道離断術を主とする）,K5322
150136350,食道静脈瘤手術（開腹）,K532-2
150165210,胃切除術（単純切除術）,K6551
150166110,胃全摘術（単純全摘術）,K6571
150168010,胃切除術（悪性腫瘍手術）,K6552
150168110,胃全摘術（悪性腫瘍手術）,K6572
150171310,胃腸吻合術（ブラウン吻合を含む）,K662
150173210,総胆管拡張症手術,K674
150173910,総胆管胃（腸）吻合術,K680
150177210,肝内胆管（肝管）胃（腸）吻合術,K696
150178110,膵体尾部腫瘍切除術（膵尾部切除術）（脾同時切除）,K7021ｲ
150178210,膵体尾部腫瘍切除術（リンパ節・神経叢郭清等を伴う腫瘍切除術）,K7022
150178410,膵頭部腫瘍切除術（膵頭十二指腸切除術）,K7031
150179010,膵嚢胞胃（腸）吻合術,K705
150180650,腸閉塞症手術（小腸切除術）（悪性腫瘍手術以外の切除術）,K7161
150180750,腸閉塞症手術（結腸切除術）（小範囲切除）,K7191
150180850,腸閉塞症手術（結腸切除術）（結腸半側切除）,K7192
150180950,腸閉塞症手術（結腸切除術）（全切除、亜全切除又は悪性腫瘍手術）,K7193
150181210,小腸切除術（悪性腫瘍手術以外の切除術）,K7161
150181710,結腸切除術（小範囲切除）,K7191
150181810,結腸切除術（結腸半側切除）,K7192
150181910,結腸切除術（全切除、亜全切除又は悪性腫瘍手術）,K7193
150185710,人工肛門閉鎖術（腸管切除を伴う）,K7322
150186010,先天性巨大結腸症手術,K735
150186810,直腸腫瘍摘出術（経肛門）,K7391
150186910,直腸腫瘍摘出術（経括約筋）,K7392
150187010,直腸腫瘍摘出術（経腹及び経肛）,K7393
150187110,直腸切除・切断術（切除術）,K7401
150187210,直腸切除・切断術（切断術）,K7404
150200510,膀胱悪性腫瘍手術（切除）,K8031
150200610,膀胱悪性腫瘍手術（全摘（尿路変更を行わない））,K8032
150245410,直腸切除・切断術（低位前方切除術）,K7402
150245910,膀胱悪性腫瘍手術（全摘（尿管Ｓ状結腸吻合利用で尿路変更を行う））,K8033
150246010,膀胱悪性腫瘍手術（全摘（回腸又は結腸導管利用で尿路変更を行う））,K8034
150246110,膀胱悪性腫瘍手術（全摘（代用膀胱利用で尿路変更を行う））,K8035
150246210,膀胱悪性腫瘍手術（経尿道的手術）（その他）,K8036ﾛ
150246510,尿道悪性腫瘍摘出術（尿路変更を行う場合）,K8173
150266610,胸腔鏡下肺切除術（肺嚢胞手術（楔状部分切除））,K5131
150271850,腹腔鏡下脾摘出術,K711-2
150271950,腹腔鏡下小腸切除術（悪性腫瘍手術以外の切除術）,K716-21
150277410,膵体尾部腫瘍切除術（周辺臓器の合併切除を伴う腫瘍切除術）,K7023
150277510,膵体尾部腫瘍切除術（血行再建を伴う腫瘍切除術）,K7024
150277810,腹腔鏡下結腸切除術（小範囲切除、結腸半側切除）,K719-21
150287750,肺縫縮術（肺気腫に対する正中切開）（楔状部分切除）,K517
150296910,膵頭部腫瘍切除術（リンパ節・神経叢郭清等を伴う腫瘍切除術）,K7032
150297010,膵頭部腫瘍切除術（十二指腸温存膵頭切除術）,K7032
150297110,膵頭部腫瘍切除術（周辺臓器の合併切除を伴う腫瘍切除術）,K7033
150297210,膵頭部腫瘍切除術（血行再建を伴う腫瘍切除術）,K7034
150297310,小腸切除術（悪性腫瘍手術）,K7162
150297510,直腸切除・切断術（超低位前方切除術）（経肛門的結腸嚢肛門吻合）,K7403
150299350,腸閉塞症手術（小腸切除術）（悪性腫瘍手術）,K7162
150306650,先天性胆管拡張症に対する手術（胃切除、総胆管切除等併施）,K674
150317110,肺切除術（気管支形成を伴う肺切除）,K5116
150323410,腹腔鏡下胃切除術（単純切除術）,K655-21
150323510,腹腔鏡下胃切除術（悪性腫瘍手術）,K655-22
150323610,腹腔鏡下胃全摘術（単純全摘術）,K657-21
150323710,腹腔鏡下胃全摘術（悪性腫瘍手術）,K657-22
150324010,胆嚢悪性腫瘍手術（肝切除（葉以上）を伴う）,K6753
150324110,胆嚢悪性腫瘍手術（膵頭十二指腸切除を伴う）,K6754
150324210,胆嚢悪性腫瘍手術（膵頭十二指腸切除及び肝切除（葉以上）を伴う）,K6755
150324910,腹腔鏡下結腸悪性腫瘍切除術,K719-3
150325110,腹腔鏡下先天性巨大結腸症手術,K735-3
150325210,腹腔鏡下直腸切除・切断術（切除術）,K740-21
150337210,噴門側胃切除術（単純切除術）,K655-41
150337310,噴門側胃切除術（悪性腫瘍切除術）,K655-42
150337710,腹腔鏡下結腸切除術（全切除、亜全切除）,K719-22
150337810,腹腔鏡下直腸切除・切断術（低位前方切除術）,K740-22
150337910,腹腔鏡下直腸切除・切断術（切断術）,K740-23
150346310,食道空置バイパス作成術,K522-3
150347810,肝門部胆管悪性腫瘍手術（血行再建あり）,K677-21
150347910,肝門部胆管悪性腫瘍手術（血行再建なし）,K677-22
150348310,膵中央切除術,K700
150348410,膵体尾部腫瘍切除術（膵尾部切除術）（脾温存）,K7021ﾛ
150357010,胸腔鏡下試験切除術,K488-4
150357710,胸腔鏡下肺切除術（その他）,K5132
150357810,肺悪性腫瘍手術（部分切除）,K5141
150357910,肺悪性腫瘍手術（区域切除）,K5142
150358010,肺悪性腫瘍手術（肺葉切除又は１肺葉を超える）,K5143
150358110,肺悪性腫瘍手術（肺全摘）,K5144
150358210,肺悪性腫瘍手術（隣接臓器合併切除を伴う肺切除）,K5145
150358310,肺悪性腫瘍手術（気管支形成を伴う肺切除）,K5146
150358410,肺悪性腫瘍手術（気管分岐部切除を伴う肺切除）,K5147
150358510,肺悪性腫瘍手術（気管分岐部再建を伴う肺切除）,K5148
150358610,胸腔鏡下肺悪性腫瘍手術（部分切除）,K514-21
150358710,胸腔鏡下肺悪性腫瘍手術（区域切除）,K514-22
150358810,胸腔鏡下肺悪性腫瘍手術（肺葉切除又は１肺葉を超える）,K514-23
150358910,胸腔鏡下食道憩室切除術,K524-2
150362010,腹腔鏡下胃腸吻合術,K662-2
150362210,胆嚢悪性腫瘍手術（肝切除（亜区域切除以上））,K6752
150362910,肝切除術（１区域切除（外側区域切除を除く））,K6954
150363010,肝切除術（２区域切除）,K6955
150363110,肝切除術（３区域切除以上）,K6956
150363210,肝切除術（２区域切除以上で血行再建）,K6957
150363710,腹腔鏡下小腸切除術（悪性腫瘍手術）,K716-22
150363810,全結腸・直腸切除嚢肛門吻合術,K719-5
150364510,低侵襲経肛門的局所切除術（ＭＩＴＡＳ）,K739-3
150365110,膀胱悪性腫瘍手術（経尿道的手術）（電解質溶液利用）,K8036ｲ
150374510,肺悪性腫瘍手術（胸膜肺全摘）,K5149
150374710,胸腔鏡下食道悪性腫瘍手術（頸部、胸部、腹部の操作）,K529-21
150374810,胸腔鏡下食道悪性腫瘍手術（胸部、腹部の操作）,K529-22
150377710,腹腔鏡下胃局所切除術（その他）,K654-32
150377810,腹腔鏡下噴門側胃切除術（単純切除術）,K655-51
150377910,腹腔鏡下噴門側胃切除術（悪性腫瘍切除術）,K655-52
150378010,腹腔鏡下胃縮小術（スリーブ状切除）,K656-2
150386610,肺悪性腫瘍手術（壁側・臓側胸膜全切除、横隔膜心膜合併切除を伴う）,K51410
150388310,腹腔鏡下総胆管拡張症手術,K674-2
150388410,胆管悪性腫瘍手術（膵頭十二指腸切除及び肝切除（葉以上）を伴う）,K6771
150388510,胆管悪性腫瘍手術（その他）,K6772
150388810,腹腔鏡下肝切除術（１区域切除（外側区域切除を除く））,K695-24
150388910,腹腔鏡下肝切除術（２区域切除）,K695-25
150389010,腹腔鏡下肝切除術（３区域切除以上）,K695-26
150389110,膵腫瘍摘出術,K700-2
150389210,腹腔鏡下膵体尾部腫瘍切除術（脾同時切除）,K702-21
150389310,腹腔鏡下膵体尾部腫瘍切除術（脾温存）,K702-22
